use case,isotope,alph0,alph1,alph2,alph3,alph4,alph5
1,dD,1765.4,-707.7,107.3,-7.278,0.1862,-0.0207
1,d18O,403.1,-173.2,27.97,-2.008,0.0541,-0.0163
2,dD,610.6,-257.7,40.79,-2.867,0.0755,-0.0265
2,d18O,440.3,-192.2,31.47,-2.287,0.0623,-0.0164
3,dD,572.1,-243.6,39.05,-2.781,0.0742,-0.0211
3,d18O,358.9,-157.4,25.91,-1.894,0.0518,-0.0112
