date,profile,start_utcsecs,end_utcsecs
20180927,2,37167.0,39816.0
20180927,3,40395.0,41720.0
20180927,4,42092.0,44659.0
20180927,5,45424.0,46795.0
20180927,6,47375.0,49026.0
20180930,1,34313.0,35700.0
20180930,2,39488.0,42683.0
20180930,3,43480.0,44270.0
20180930,4,45399.0,47964.0
20181003,1,33873.0,35345.0
20181003,2,38648.0,46740.0
20181003,3,46802.0,48108.0
20181003,4,48398.0,49090.0
20181003,5,50005.0,51364.0
20181003,6,52599.0,53111.0
20181007,1,37210.0,41074.0
20181007,2,41192.0,43900.0
20181007,3,44597.0,45839.0
20181007,4,46667.0,51025.0
20181010,1,35881.0,37245.0
20181010,2,39302.0,40298.0
20181010,3,41164.0,43610.0
20181010,4,44021.0,47377.0
20181010,5,47636.0,48979.0
20181010,6,49173.0,52291.0
20181012,1,46254.0,47276.0
20181012,2,53453.0,54784.0
20181012,3,55694.0,57123.0
20181012,4,57319.0,59350.0
20181015,1,36559.0,37938.0
20181015,2,38078.0,41953.0
20181015,3,42213.0,43269.0
20181015,4,43345.0,45829.0
20181015,5,46269.0,47008.0
20181015,6,47147.0,48266.0
20181017,1,30843.0,40178.0
20181017,2,40354.0,41774.0
20181019,1,32290.0,33729.0
20181019,2,34914.0,40735.0
20181019,3,41941.0,43275.0
20181019,4,47720.0,50429.0
20181021,1,36065.0,37552.0
20181021,2,39904.0,40467.0
20181021,3,41589.0,44027.0
20181021,4,44437.0,45213.0
20181021,5,45667.0,47308.0
20181021,6,49054.0,49809.0
20181021,7,50025.0,50659.0
20181021,8,50731.0,51730.0
20181023,1,35348.0,38145.0
20181023,2,38421.0,40604.0
20181023,3,41472.0,43719.0
20181023,4,43931.0,45054.0
20181023,5,45669.0,46622.0
20181023,6,49208.0,51476.0
