predictor_var,coeff
logq^1,-24371.320910730537
logq^2,5352.999425776057
logq^3,-587.2436001965656
logq^4,32.100769045779955
logq^5,-0.6993344023471717
d18O^1,-25.85433314301944
d18O^2,-1.779086784410483
d18O^3,-0.03204461735300039
d18O^4,-0.00019805059892673467
logq*d18O^1,-2.6605337957707524
logq*d18O^2,-0.0017906933507065733
const,44057.92137412183
