date,d18O_permil,d18O*_permil,d18O_std,d18O_stderror,dD_permil,dD*_permil,dD_std,dD_stderror,h2o_ppmv,h2o_std,h2o_stderror
6/1/2017,-6.493497088,0.763676549,0.655501705,0.214908966,-93.13957284,13.58356566,20.16849267,6.612324384,951.7573743,20.74241531,6.800487313
6/1/2017,-6.619208943,0.637964694,0.427730256,0.138504321,-99.9064454,6.816693098,13.75993086,4.455634943,1545.63918,22.65932061,7.337366862
6/1/2017,-6.596364979,0.660808658,0.377913816,0.119498278,-99.9948038,6.728334698,11.03783585,3.49022005,1699.913965,23.06634887,7.29369728
6/1/2017,-6.72780849,0.529365146,0.351076856,0.115800959,-101.6190003,5.104138225,9.408379836,3.103307397,2159.275948,11.41260785,3.764392059
6/1/2017,-6.854452872,0.402720764,0.27787356,0.094293984,-103.8357869,2.887351623,6.719003258,2.280035507,2905.847359,16.26593014,5.519702379
6/1/2017,-6.863579941,0.393593696,0.238853577,0.086644339,-105.1517272,1.571411332,5.396360281,1.957534297,3621.206294,18.40236006,6.675471817
6/1/2017,-6.818699566,0.43847407,0.221680363,0.08258443,-104.0842936,2.638844939,4.441953565,1.654797921,4366.984678,10.96870767,4.086263935
6/1/2017,-6.802396662,0.454776975,0.203092412,0.092661908,-104.7886671,1.934471424,3.942184133,1.798640826,5578.355819,9.688716641,4.420524439
6/1/2017,-6.84783997,0.409333666,0.184897203,0.085902428,-106.592928,0.130210526,2.769424545,1.286662478,7522.531796,9.75546644,4.532346854
6/1/2017,-6.901980149,0.355193488,0.174330113,0.078205873,-106.7881084,-0.06496995,2.034876649,0.912861827,9461.052139,12.95730613,5.812750449
6/1/2017,-7.059023355,0.198150282,0.168162539,0.060490383,-106.8093269,-0.086188411,1.663145214,0.598256254,12451.67355,8.494861606,3.055718792
6/1/2017,-7.134862175,0.122311461,0.19068989,0.065735857,-106.9641861,-0.241047595,1.645198119,0.567143376,14400.67626,8.393828087,2.893574911
6/1/2017,-7.257173637,0,0.157474161,0.061643284,-106.7231385,0,1.290111547,0.50501436,16354.82346,5.067671366,1.983740723
6/1/2017,-7.164619103,0.092554534,0.170995444,0.061499737,-106.4999123,0.22322619,1.513991264,0.544517807,14417.19823,6.843116502,2.461175885
6/1/2017,-7.080692659,0.176480978,0.184644899,0.063029873,-106.3736548,0.349483738,1.65593639,0.565265876,12489.27681,5.671287839,1.935935165
6/1/2017,-7.028487424,0.228686212,0.160831362,0.074243919,-105.9754815,0.747656981,2.231699338,1.030210167,9516.011911,10.25516387,4.734049029
6/1/2017,-6.949967158,0.307206478,0.184584281,0.084306743,-105.1983053,1.524833165,2.540946303,1.160547932,7578.609329,13.55033958,6.188961391
6/1/2017,-6.83591373,0.421259906,0.203113158,0.092107786,-104.7873395,1.935798974,3.311780707,1.501826822,5660.627917,8.52302392,3.865022193
6/1/2017,-6.719025889,0.538147748,0.218713962,0.071857573,-104.1725927,2.550545797,4.245709007,1.394910245,4441.937075,17.88770646,5.876932444
6/1/2017,-6.747097417,0.510076219,0.215558516,0.071059171,-103.7684948,2.954643661,5.341995021,1.760996251,3690.578368,19.6261133,6.469776143
6/1/2017,-6.684573348,0.572600289,0.291057023,0.094768646,-100.9370681,5.786070385,6.674843188,2.173339935,2949.382453,21.06393753,6.858452749
6/1/2017,-6.503356052,0.753817585,0.299395372,0.096357647,-99.82367341,6.899465087,9.37882923,3.018489939,2184.83467,13.09961469,4.215990522
6/1/2017,-6.283065036,0.974108601,0.397141185,0.125293808,-98.37140243,8.351736067,11.45898705,3.615188188,1721.106625,13.71559821,4.327124939
,,,,,,,,,,,
