,picarro,year,aD,bD,sig_aD,sig_bD,a18O,b18O,sig_a18O,sig_b18O
0,Mako,2016,-0.3651312707376896,3.0312019605119525,0.05637865579683556,0.15673380577603843,-0.005809542305628095,4.960998892539583,0.0014551488415721237,0.20700951984887037
1,Mako,2017,-0.43756338075849355,2.184479139455278,0.0982237713385784,0.29137015075446454,-0.013266134924539414,3.710173580512788,0.007062867537384264,0.5278421294464417
2,Mako,2018,-0.33086256394831765,2.855970261661169,0.0846931921588692,0.2532689675042852,-0.006460361722759722,4.576738899591047,0.0056495899006729555,0.6650586856478128
3,Gulper,2016,0.03484241121644365,4.455895268524261,0.0083704954559461,0.19406893200090167,0.06706862452383754,1.888925623991518,0.01432274111276017,0.19938177605951607
