date,h2o_ppmv,d18O_permil,d18O*_permil,dD_permil,dD*_permil
5/26/2017,7869.317677,-17.76427981,7.81518E-05,-121.2846437,-2.217813107
5/26/2017,8832.016367,-17.71478838,0.049569585,-120.4044385,-1.33760782
5/26/2017,10870.21149,-17.70221295,0.062145011,-119.7616546,-0.694824003
5/26/2017,12904.55058,-17.76435796,0,-119.0668306,0
5/29/2017,1278.417389,-19.94453837,-3.699339398,-134.9331068,-24.54091407
5/29/2017,2000.288437,-18.45767302,-2.212474049,-125.5129678,-15.12077511
5/29/2017,2322.029911,-18.04927763,-1.804078651,-123.5080468,-13.11585413
5/29/2017,2489.306152,-17.73130261,-1.486103631,-122.2288358,-11.83664307
5/29/2017,3561.747488,-17.14142301,-0.896224038,-119.1555594,-8.763366679
5/29/2017,4773.854136,-16.7519008,-0.50670182,-117.2591008,-6.866908128
5/29/2017,5802.916959,-16.56729715,-0.322098177,-116.0727845,-5.680591849
5/29/2017,6829.474204,-16.51920858,-0.2740096,-114.7586679,-4.366475257
5/29/2017,8033.011434,-16.40914463,-0.163945653,-114.2578863,-3.865693606
5/29/2017,9064.343609,-16.31903299,-0.073834011,-113.5019113,-3.109718582
5/29/2017,10092.37328,-16.26181053,-0.016611551,-113.3505907,-2.958398048
5/29/2017,12315.07853,-16.26262048,-0.017421507,-112.5829698,-2.190777161
5/29/2017,14566.94008,-16.19747714,0.047721839,-111.3857481,-0.993555421
5/29/2017,16789.26123,-16.31229464,-0.067095669,-111.07914,-0.686947336
5/29/2017,19060.50423,-16.24519898,0,-110.3921927,0
5/29/2017,12334.5461,-16.23511864,0.010080331,-111.2896763,-0.89748357
5/29/2017,4748.687656,-16.5715933,-0.326394329,-113.1585219,-2.766329223
5/29/2017,1273.087447,-19.29233974,-3.047140763,-122.920763,-12.52857035
6/1/2017,436.168197,-26.01479862,-11.22109797,-155.5359854,-57.35128922
6/1/2017,731.4851387,-21.58273781,-6.789037156,-130.8389397,-32.65424355
6/1/2017,1022.852742,-19.42996848,-4.636267827,-122.351475,-24.16677882
6/1/2017,1657.630309,-17.49849518,-2.704794532,-116.0372683,-17.8525722
6/1/2017,1819.421511,-17.16714745,-2.373446797,-112.5999905,-14.41529431
6/1/2017,2310.482428,-16.49298259,-1.699281941,-110.728071,-12.54337485
6/1/2017,3106.124887,-15.98600839,-1.192307738,-105.7836417,-7.598945539
6/1/2017,3866.067275,-15.68979557,-0.896094924,-104.6255794,-6.440883256
6/1/2017,4676.944654,-15.57193066,-0.778230006,-101.8304078,-3.645711703
6/1/2017,5951.490754,-15.24267061,-0.448969963,-101.6678275,-3.48313139
6/1/2017,8019.029513,-15.00985247,-0.216151823,-100.9838871,-2.799190935
6/1/2017,10076.30118,-14.85086309,-0.057162439,-100.2588901,-2.074193991
6/1/2017,13259.06514,-14.82100104,-0.027300394,-99.29975614,-1.115059989
6/1/2017,15329.08711,-14.75297626,0.040724392,-98.58768131,-0.402985169
6/1/2017,17408.42852,-14.79370065,0,-98.18469615,0
6/1/2017,15341.46732,-14.69530635,0.098394304,-98.02829184,0.156404309
6/1/2017,13279.93229,-14.70733061,0.086370044,-98.48516639,-0.300470248
6/1/2017,10114.64845,-14.62426864,0.169432008,-99.24196332,-1.057267175
6/1/2017,8048.329053,-14.67110223,0.122598419,-100.3305281,-2.145831912
6/1/2017,6010.087867,-14.71311821,0.080582445,-101.3842412,-3.199545071
6/1/2017,4719.680849,-15.00267674,-0.208976092,-101.7655685,-3.580872359
6/1/2017,3923.988958,-15.33230206,-0.538601407,-102.0956183,-3.910922157
6/1/2017,3135.369697,-15.52856022,-0.734859571,-105.0878335,-6.903137312
6/1/2017,2324.052872,-16.16679236,-1.373091715,-105.9225167,-7.737820565
6/1/2017,1832.940871,-16.8796061,-2.085905447,-109.321326,-11.13662988
10/19/2018,600,-22.3,-5.3,-161,-29
10/19/2018,890,-20.8,-3.8,-148,-16
10/19/2018,2000,-18.5,-1.5,-140,-8
10/19/2018,4300,-17.5,-0.5,-135.4,-3.4
10/19/2018,6000,-17.2,-0.2,-135.5,-3.5
10/19/2018,8100,-17.2,-0.2,-134,-2
10/19/2018,11700,-16.9,0.1,-133.4,-1.4
10/19/2018,15000,-16.9,0.1,-132.5,-0.5
10/19/2018,17600,-17,0,-132,0
