Start,End
21513.0,24717.0
34879.0,34925.0
35173.0,35202.0
35310.0,35349.0
35555.0,35595.0
37132.0,37176.0
37362.0,37396.0
38759.0,38807.0
40038.0,40072.0
40296.0,40334.0
40520.0,40554.0
48489.0,48537.0
51107.0,51151.0
51447.0,51499.0
51617.0,51650.0
51688.0,51725.0
52212.0,52247.0
52676.0,52709.0
54374.0,54426.0
54611.0,54658.0
